wt_kg,ht_cm,bmi
56.2,168.2,19.86
47.7,197.3,12.25
99.9,159.0,39.52
98.9,169.8,34.3
66.0,193.7,17.59
99.4,195.8,25.93
45.1,188.8,12.65
42.9,167.1,15.36
55.6,198.7,14.08
72.1,198.9,18.22
100.5,177.1,32.04
114.9,159.7,45.05
108.5,156.6,44.24
71.3,167.8,25.32
75.7,185.7,21.95
45.6,168.7,16.02
77.9,187.4,22.18
116.6,194.6,30.79
41.7,191.3,11.39
86.4,177.9,27.3
97.2,184.1,28.68
72.5,152.7,31.09
63.5,199.9,15.89
46.2,194.7,12.19
62.2,188.3,17.54
102.1,163.1,38.38
85.3,187.5,24.26
82.7,198.7,20.95
71.3,193.7,19.0
62.3,167.5,22.21
70.4,194.1,18.69
50.2,199.7,12.59
59.2,156.7,24.11
97.4,152.9,41.66
68.3,195.2,17.93
79.7,168.7,28.0
113.9,161.2,43.83
92.1,183.9,27.23
65.2,173.4,21.68
75.0,197.8,19.17
63.9,153.3,27.19
72.8,181.8,22.03
113.1,153.9,47.75
107.3,151.7,46.63
103.8,192.5,28.01
105.6,191.5,28.8
85.5,151.2,37.4
119.8,190.3,33.08
91.6,195.7,23.92
63.3,179.4,19.67
82.7,180.5,25.38
51.5,170.9,17.63
88.9,192.1,24.09
107.4,165.5,39.21
43.5,171.6,14.77
102.6,181.3,31.21
69.5,159.1,27.46
72.0,199.8,18.04
43.7,196.1,11.36
90.4,165.8,32.89
56.3,195.8,14.69
53.0,170.6,18.21
100.9,173.8,33.4
79.8,181.2,24.3
42.7,176.7,13.68
110.3,191.2,30.17
60.1,178.1,18.95
45.6,173.3,15.18
95.8,167.6,34.1
59.1,154.3,24.82
97.6,195.9,25.43
116.6,154.7,48.72
82.0,189.7,22.79
72.8,177.2,23.18
47.9,153.6,20.3
63.2,170.0,21.87
50.4,157.6,20.29
112.0,191.3,30.6
116.5,178.1,36.73
90.6,183.0,27.05
103.8,153.4,44.11
58.5,185.8,16.95
102.9,179.8,31.83
85.5,185.2,24.93
65.4,152.3,28.2
44.0,152.8,18.85
95.9,152.6,41.18
107.9,168.9,37.82
55.6,196.6,14.38
40.5,176.1,13.06
41.9,167.3,14.97
55.1,199.9,13.79
62.3,184.0,18.4
57.9,185.3,16.86
87.6,172.7,29.37
40.0,167.9,14.19
47.7,197.8,12.19
44.7,159.3,17.61
69.1,151.6,30.07
102.6,176.2,33.05
64.1,151.1,28.08
118.7,152.9,50.77
95.0,152.5,40.85
85.4,172.5,28.7
65.6,158.6,26.08
55.8,187.4,15.89
100.6,198.2,25.61
103.7,172.9,34.69
90.0,180.3,27.69
62.1,180.4,19.08
96.9,179.1,30.21
71.0,160.2,27.67
66.2,168.5,23.32
64.2,151.2,28.08
102.0,171.4,34.72
98.7,163.8,36.79
68.3,194.4,18.07
95.8,167.5,34.15
101.9,163.6,38.07
91.7,199.0,23.16
98.4,162.0,37.49
71.9,170.2,24.82
47.2,192.1,12.79
115.3,165.0,42.35
79.3,195.4,20.77
99.3,188.9,27.83
87.8,161.5,33.66
91.5,168.3,32.3
52.1,193.5,13.91
105.7,194.6,27.91
105.6,153.1,45.05
97.8,173.2,32.6
96.8,180.6,29.68
109.8,197.0,28.29
118.6,188.0,33.56
64.7,188.8,18.15
78.0,163.2,29.29
61.7,175.1,20.12
77.7,187.8,22.03
66.2,197.4,16.99
75.4,154.8,31.47
87.9,166.7,31.63
41.4,190.3,11.43
45.7,159.4,17.99
41.0,154.6,17.15
41.1,180.8,12.57
87.8,175.2,28.6
57.1,175.8,18.48
80.8,163.6,30.19
90.4,175.5,29.35
53.4,197.8,13.65
80.9,157.0,32.82
61.0,179.5,18.93
72.8,165.1,26.71
83.7,182.7,25.08
96.9,176.3,31.18
112.5,173.9,37.2
115.1,170.5,39.59
115.4,182.1,34.8
78.3,190.9,21.49
95.1,156.0,39.08
105.3,161.4,40.42
56.1,180.8,17.16
115.4,154.3,48.47
110.2,188.9,30.88
68.0,179.7,21.06
103.9,153.5,44.1
52.1,188.4,14.68
87.0,152.5,37.41
48.3,179.8,14.94
87.7,180.4,26.95
83.5,164.5,30.86
67.9,172.8,22.74
49.7,160.9,19.2
116.7,156.9,47.41
58.6,161.8,22.38
104.8,152.3,45.18
103.1,163.3,38.66
98.3,163.6,36.73
59.3,185.3,17.27
104.8,172.7,35.14
82.3,157.1,33.35
75.8,177.9,23.95
111.7,192.0,30.3
51.2,170.0,17.72
61.3,180.2,18.88
105.5,181.8,31.92
90.7,177.2,28.89
116.1,198.0,29.61
60.4,175.2,19.68
93.8,152.3,40.44
65.4,183.1,19.51
101.1,176.4,32.49
118.9,180.8,36.37
116.2,182.7,34.81
49.9,163.1,18.76
107.5,167.6,38.27
120.0,190.9,32.93
117.7,160.8,45.52
69.6,167.6,24.78
88.1,177.0,28.12
40.2,165.8,14.62
40.8,167.2,14.59
45.8,188.6,12.88
119.7,169.6,41.61
84.2,180.3,25.9
83.3,168.5,29.34
62.7,151.4,27.35
44.4,193.0,11.92
107.3,158.6,42.66
108.9,159.8,42.65
68.4,173.2,22.8
92.5,197.3,23.76
89.1,153.9,37.62
100.1,173.0,33.45
101.2,186.8,29.0
97.2,166.0,35.27
59.1,192.9,15.88
73.0,161.0,28.16
91.4,171.1,31.22
76.2,189.2,21.29
102.1,161.9,38.95
111.2,158.5,44.26
90.7,153.8,38.34
99.1,178.5,31.1
112.5,188.2,31.76
54.6,178.1,17.21
79.6,167.5,28.37
66.3,176.3,21.33
68.9,170.8,23.62
103.4,151.2,45.23
108.2,154.9,45.09
86.1,199.2,21.7
95.4,160.7,36.94
41.2,160.6,15.97
89.2,169.4,31.08
95.0,172.6,31.89
53.4,157.4,21.55
72.0,155.8,29.66
59.8,155.0,24.89
76.2,184.8,22.31
119.4,172.8,39.99
104.4,161.9,39.83
84.9,184.6,24.91
85.1,177.7,26.95
48.7,189.9,13.5
105.8,164.4,39.15
106.7,194.5,28.2
75.1,182.4,22.57
53.8,167.1,19.27
102.2,159.7,40.07
88.4,194.8,23.3
96.2,170.5,33.09
68.7,192.7,18.5
89.0,178.6,27.9
106.9,179.8,33.07
89.1,180.6,27.32
109.7,195.9,28.58
108.5,189.0,30.37
114.1,183.7,33.81
107.1,157.4,43.23
65.0,165.1,23.85
103.3,186.7,29.64
61.7,176.1,19.9
53.0,198.9,13.4
53.4,178.7,16.72
117.4,192.9,31.55
52.4,167.2,18.74
71.1,174.2,23.43
59.8,197.0,15.41
85.7,188.5,24.12
119.1,198.9,30.11
82.9,161.8,31.67
101.6,179.1,31.67
51.7,193.3,13.84
70.1,166.2,25.38
66.9,164.1,24.84
112.6,176.0,36.35
118.8,162.2,45.16
51.4,196.2,13.35
67.9,187.5,19.31
50.0,162.4,18.96
119.6,151.4,52.18
75.4,153.6,31.96
68.6,152.0,29.69
48.3,161.1,18.61
104.8,157.2,42.41
77.9,175.9,25.18
87.8,154.9,36.59
74.2,161.3,28.52
63.3,177.1,20.18
111.5,178.6,34.96
91.3,197.7,23.36
81.6,195.1,21.44
70.6,193.9,18.78
45.8,154.2,19.26
95.5,170.3,32.93
77.4,182.3,23.29
95.1,187.4,27.08
42.5,196.1,11.05
60.8,190.2,16.81
77.9,185.1,22.74
59.8,159.4,23.54
41.3,170.2,14.26
42.7,158.0,17.1
51.0,186.6,14.65
103.5,176.3,33.3
88.2,157.1,35.74
53.5,191.5,14.59
92.9,187.6,26.4
115.2,163.5,43.09
49.7,192.2,13.45
65.8,182.0,19.86
55.8,167.2,19.96
47.1,153.0,20.12
91.8,167.0,32.92
43.0,172.3,14.48
114.6,168.3,40.46
73.6,159.9,28.79
93.1,176.8,29.78
60.1,167.8,21.34
72.7,177.7,23.02
59.7,154.7,24.95
99.7,199.2,25.13
61.6,170.0,21.31
72.7,170.1,25.13
111.2,155.1,46.23
119.6,166.3,43.25
51.0,159.0,20.17
79.6,190.9,21.84
104.7,171.4,35.64
52.9,166.2,19.15
97.4,169.6,33.86
115.7,154.8,48.28
59.9,185.4,17.43
49.8,177.3,15.84
56.2,164.8,20.69
82.2,194.3,21.77
49.2,166.4,17.77
102.7,151.7,44.63
94.7,154.4,39.72
116.8,161.7,44.67
77.3,194.9,20.35
69.3,183.9,20.49
69.5,154.3,29.19
56.9,164.6,21.0
93.3,182.8,27.92
86.2,158.1,34.49
100.2,193.9,26.65
44.8,183.0,13.38
51.0,166.2,18.46
117.8,192.3,31.86
48.0,185.6,13.93
98.8,187.1,28.22
57.6,196.3,14.95
78.3,190.8,21.51
50.4,178.7,15.78
98.9,177.3,31.46
86.3,197.4,22.15
49.9,172.4,16.79
60.4,194.6,15.95
68.7,170.9,23.52
86.1,189.0,24.1
78.4,177.2,24.97
71.4,195.8,18.62
66.8,164.4,24.72
53.1,178.5,16.67
107.8,150.5,47.59
48.3,189.6,13.44
45.5,191.4,12.42
96.8,165.7,35.26
107.4,192.8,28.89
40.6,186.3,11.7
80.9,165.9,29.39
100.4,175.0,32.78
88.5,199.4,22.26
80.8,156.0,33.2
94.6,162.1,36.0
76.2,155.0,31.72
110.9,171.1,37.88
88.3,197.2,22.71
102.3,182.1,30.85
79.1,175.6,25.65
95.3,158.3,38.03
89.9,179.9,27.78
91.9,164.1,34.13
119.9,193.0,32.19
105.1,197.7,26.89
47.5,186.2,13.7
90.8,175.9,29.35
83.7,171.7,28.39
99.1,172.0,33.5
100.2,159.5,39.39
86.0,195.5,22.5
86.5,181.2,26.35
53.4,174.3,17.58
118.9,191.2,32.52
53.8,169.4,18.75
66.8,162.6,25.27
44.6,165.7,16.24
88.1,175.9,28.47
87.6,187.5,24.92
66.1,190.9,18.14
89.4,195.0,23.51
86.6,189.5,24.12
91.3,153.8,38.6
43.1,158.6,17.13
79.9,191.6,21.76
114.7,188.0,32.45
103.8,163.0,39.07
90.9,182.8,27.2
43.2,173.8,14.3
71.5,193.9,19.02
92.1,152.8,39.45
89.0,151.7,38.67
67.2,150.7,29.59
43.5,186.2,12.55
105.3,163.5,39.39
59.0,153.2,25.14
95.4,199.8,23.9
67.8,169.4,23.63
76.7,199.9,19.19
84.3,171.0,28.83
119.4,198.6,30.27
45.9,166.4,16.58
45.2,187.9,12.8
72.6,159.0,28.72
103.6,175.3,33.71
59.0,156.2,24.18
65.3,191.3,17.84
101.0,164.0,37.55
76.1,171.5,25.87
78.8,176.6,25.27
113.6,171.6,38.58
41.4,179.3,12.88
74.4,159.3,29.32
92.1,181.8,27.87
102.1,155.0,42.5
116.0,199.1,29.26
55.0,186.2,15.86
57.3,150.0,25.47
43.1,199.0,10.88
117.3,171.4,39.93
100.4,150.9,44.09
87.0,197.5,22.3
113.2,175.4,36.79
90.6,187.8,25.69
73.1,193.3,19.56
91.9,156.9,37.33
118.9,197.1,30.61
43.0,189.8,11.94
61.8,183.0,18.45
79.5,160.8,30.75
73.8,170.8,25.3
102.3,195.1,26.88
112.9,158.5,44.94
113.2,187.2,32.3
114.5,158.1,45.81
69.5,162.1,26.45
91.7,179.8,28.37
76.1,198.9,19.24
79.0,198.3,20.09
113.3,163.4,42.44
108.2,175.2,35.25
44.4,162.1,16.9
89.2,173.6,29.6
90.7,192.2,24.55
61.1,173.4,20.32
92.6,194.7,24.43
62.4,197.9,15.93
94.4,169.0,33.05
45.0,186.4,12.95
67.3,199.2,16.96
52.7,152.5,22.66
46.3,151.7,20.12
40.5,154.3,17.01
60.4,184.1,17.82
42.2,177.3,13.42
63.9,179.0,19.94
59.5,153.9,25.12
93.1,186.9,26.65
40.7,156.6,16.6
93.5,167.4,33.37
98.5,156.8,40.06
114.1,155.3,47.31
113.3,174.1,37.38
75.1,152.7,32.21
96.5,189.4,26.9
115.3,164.6,42.56
89.3,166.7,32.14
110.5,157.0,44.83
45.4,192.4,12.26
103.6,184.7,30.37
77.3,198.0,19.72
52.2,174.7,17.1
94.7,153.2,40.35
56.0,154.6,23.43
76.9,158.5,30.61
100.3,192.3,27.12
48.0,175.9,15.51
112.2,165.0,41.21
113.4,162.7,42.84
110.2,168.0,39.04
111.3,188.0,31.49
48.7,154.2,20.48
69.0,190.9,18.93
44.8,178.5,14.06
64.1,154.3,26.92
63.8,154.5,26.73
90.1,186.2,25.99
65.7,160.2,25.6
119.2,153.1,50.85
118.0,151.9,51.14
119.6,182.6,35.87
57.6,154.1,24.26
117.4,194.9,30.91
103.6,167.9,36.75
48.4,159.1,19.12
77.9,184.9,22.79
107.8,186.7,30.93
119.3,198.2,30.37
79.2,157.7,31.85
45.4,187.6,12.9
42.8,189.2,11.96
114.2,170.3,39.38
94.0,153.8,39.74
65.0,156.7,26.47
40.7,175.2,13.26
55.8,163.6,20.85
91.4,150.7,40.25
115.9,156.3,47.44
119.1,188.4,33.55
104.0,178.3,32.71
46.7,172.5,15.69
58.7,185.2,17.11
71.9,184.8,21.05
52.1,183.7,15.44
49.1,159.3,19.35
50.4,153.2,21.47
118.7,150.9,52.13
57.5,187.8,16.3
109.3,163.0,41.14
113.9,157.4,45.97
111.9,183.2,33.34
105.9,197.7,27.09
57.2,172.9,19.13
102.1,176.2,32.89
118.4,186.9,33.89
67.0,199.7,16.8
105.8,187.3,30.16
88.7,167.9,31.46
110.2,155.9,45.34
57.0,199.0,14.39
56.2,176.2,18.1
82.3,181.1,25.09
84.4,187.6,23.98
51.2,164.1,19.01
92.6,180.7,28.36
91.9,171.2,31.36
96.6,158.4,38.5
59.9,157.0,24.3
93.9,180.5,28.82
79.8,187.7,22.65
112.0,161.2,43.1
98.4,181.9,29.74
107.1,159.8,41.94
105.1,156.0,43.19
106.5,151.3,46.52
110.0,172.2,37.1
95.2,178.4,29.91
114.6,176.6,36.75
101.3,151.7,44.02
40.4,153.2,17.21
93.8,170.8,32.15
115.6,187.3,32.95
62.1,174.2,20.46
40.5,157.0,16.43
106.6,180.1,32.86
106.6,161.2,41.02
44.3,166.0,16.08
55.4,160.5,21.51
65.1,192.4,17.59
65.7,198.0,16.76
112.5,170.9,38.52
90.8,162.8,34.26
87.4,186.6,25.1
106.8,168.1,37.8
114.2,199.2,28.78
73.6,163.3,27.6
44.0,172.9,14.72
43.8,156.1,17.97
65.0,161.9,24.8
98.7,168.8,34.64
53.0,198.0,13.52
76.2,188.1,21.54
67.7,182.6,20.3
97.8,197.4,25.1
57.3,164.9,21.07
98.5,170.3,33.96
76.3,164.8,28.09
52.1,170.7,17.88
107.3,178.8,33.56
119.2,167.1,42.69
88.0,153.5,37.35
114.2,197.5,29.28
117.1,152.6,50.29
56.5,150.2,25.04
91.5,176.3,29.44
93.3,183.2,27.8
75.5,152.2,32.59
89.5,166.6,32.25
51.6,192.5,13.92
56.0,164.2,20.77
70.8,185.7,20.53
74.3,163.5,27.79
75.6,172.2,25.5
55.4,190.4,15.28
66.9,153.4,28.43
78.8,154.0,33.23
116.9,180.5,35.88
46.7,188.3,13.17
60.3,164.8,22.2
64.0,194.1,16.99
78.8,178.7,24.68
57.9,158.6,23.02
79.4,172.9,26.56
52.1,191.1,14.27
47.0,169.4,16.38
50.4,162.4,19.11
117.8,184.6,34.57
47.1,179.2,14.67
96.7,195.7,25.25
71.3,185.5,20.72
105.5,186.8,30.23
56.1,186.5,16.13
88.0,154.6,36.82
112.2,178.6,35.17
111.5,162.2,42.38
72.1,194.7,19.02
88.1,188.7,24.74
75.8,186.8,21.72
73.8,169.9,25.57
72.8,173.2,24.27
112.3,150.2,49.78
44.6,166.0,16.19
58.1,160.1,22.67
104.0,164.2,38.57
84.6,177.0,27.0
60.6,159.7,23.76
103.8,154.2,43.65
90.7,154.7,37.9
99.1,173.9,32.77
77.5,192.2,20.98
68.8,163.3,25.8
103.4,195.1,27.16
111.6,160.5,43.32
104.4,180.1,32.19
48.9,166.5,17.64
79.1,158.2,31.61
107.6,183.3,32.02
50.2,170.7,17.23
43.0,153.7,18.2
95.5,184.7,27.99
42.9,164.3,15.89
58.9,176.8,18.84
43.8,153.4,18.61
84.0,158.6,33.39
101.8,177.3,32.38
96.8,156.0,39.78
89.8,162.4,34.05
102.9,189.8,28.56
115.7,182.5,34.74
111.8,154.1,47.08
106.2,174.1,35.04
92.1,152.4,39.65
62.5,195.1,16.42
76.4,170.2,26.37
91.4,169.8,31.7
116.5,179.5,36.16
83.5,186.9,23.9
48.5,166.6,17.47
83.4,157.8,33.49
83.0,186.6,23.84
85.2,172.7,28.57
86.1,179.4,26.75
92.2,175.4,29.97
42.2,163.1,15.86
106.7,172.4,35.9
45.7,184.1,13.48
106.1,171.6,36.03
59.2,193.9,15.75
110.5,178.9,34.53
113.4,184.7,33.24
119.9,151.8,52.03
43.9,152.3,18.93
50.0,157.3,20.21
40.7,173.3,13.55
106.6,187.0,30.48
107.0,171.7,36.29
62.0,157.7,24.93
81.5,188.1,23.03
105.4,169.7,36.6
72.3,187.1,20.65
96.7,184.8,28.32
82.2,174.7,26.93
101.9,182.8,30.49
106.6,187.9,30.19
51.2,168.4,18.05
74.7,159.4,29.4
105.8,150.5,46.71
46.4,189.7,12.89
116.3,176.2,37.46
45.4,154.5,19.02
93.0,189.0,26.04
99.5,151.4,43.41
87.7,153.4,37.27
81.7,199.7,20.49
98.0,180.0,30.25
57.7,188.5,16.24
45.2,182.3,13.6
40.6,159.5,15.96
46.5,195.8,12.13
66.1,189.3,18.45
60.5,173.4,20.12
108.3,166.6,39.02
105.5,169.7,36.63
43.0,170.9,14.72
83.3,165.4,30.45
112.0,189.0,31.35
93.7,156.2,38.4
90.8,196.8,23.44
114.1,155.0,47.49
92.6,190.4,25.54
113.8,155.3,47.18
81.7,173.1,27.27
93.5,197.8,23.9
110.9,174.8,36.3
66.0,151.5,28.76
115.2,187.6,32.73
75.6,154.6,31.63
42.0,186.2,12.11
90.4,180.2,27.84
96.8,192.0,26.26
78.3,171.7,26.56
91.7,189.8,25.46
72.2,156.4,29.52
80.9,172.4,27.22
109.0,165.7,39.7
103.6,196.9,26.72
78.3,187.2,22.34
86.1,186.0,24.89
118.5,165.2,43.42
41.1,199.2,10.36
76.8,199.9,19.22
114.1,181.5,34.64
62.7,194.6,16.56
98.6,181.0,30.1
99.0,185.4,28.8
77.5,154.0,32.68
58.1,171.4,19.78
74.8,157.4,30.19
45.1,186.6,12.95
118.2,187.3,33.69
92.4,190.7,25.41
117.7,181.0,35.93
102.8,189.9,28.51
115.6,183.1,34.48
89.3,196.9,23.03
42.2,168.0,14.95
48.2,191.4,13.16
70.3,186.3,20.25
61.2,165.5,22.34
67.5,190.8,18.54
46.4,155.6,19.16
109.5,163.6,40.91
87.3,156.1,35.83
80.2,165.8,29.17
67.6,184.2,19.92
106.3,177.8,33.63
79.3,153.1,33.83
100.6,182.5,30.2
95.9,164.9,35.27
112.8,191.1,30.89
